"","xmin","xmax","ymin","ymax","Name"
"xmin140",-76.6722815726067,-76.660810583444,39.2740153863054,39.2809233937392,"Gwynns Falls"
"xmin141",-76.644484627988,-76.6253953544895,39.321924639642,39.3378960121332,"Hampden"
"xmin142",-76.6785993330633,-76.6597670344524,39.3140591803268,39.3241735149722,"Hanlon-Longwood"
"xmin143",-76.5757196289608,-76.5493707398837,39.3501017642081,39.3719942072523,"Hamilton Hills"
"xmin144",-76.6475110299935,-76.6313515903533,39.2929235421557,39.2991755918983,"Harlem Park"
"xmin145",-76.6323725244355,-76.6240288906934,39.2934465234866,39.2996049081313,"Heritage Crossing"
"xmin146",-76.5795084791012,-76.5659587556858,39.3248554329361,39.3370118113597,"Herring Run Park"
"xmin147",-76.5941016291234,-76.5861891921426,39.3376757762885,39.3460307414388,"Hillen"
"xmin148",-76.5433078586897,-76.529783144954,39.2552530812668,39.2725208223194,"Holabird Industrial Park"
"xmin149",-76.6381454791379,-76.6277523496323,39.2855707703063,39.2890057941457,"Hollins Market"
"xmin150",-76.6289516339064,-76.6098561539203,39.3532257856367,39.3666657474008,"Homeland"
"xmin151",-76.5538342135156,-76.532715418282,39.2871148777418,39.2961928390896,"Hopkins Bayview"
"xmin152",-76.7112410496619,-76.6893394254737,39.3193199133226,39.3403756367909,"Howard Park"
"xmin153",-76.7050053637958,-76.692374140605,39.2923029376528,39.3018705853503,"Hunting Ridge"
"xmin154",-76.5948988279292,-76.5820076792961,39.3660218476773,39.372000083078,"Idlewood"
"xmin155",-76.6945311317955,-76.6721632147983,39.2680935991375,39.2881661076214,"Irvington"
"xmin156",-76.6259783968651,-76.617524457764,39.3230820416863,39.3364635993277,"Johns Hopkins Homewood"
"xmin157",-76.6120976368236,-76.5993590024657,39.3011997604829,39.3062974262187,"Johnston Square"
"xmin158",-76.6086867843746,-76.599411927489,39.2870247993419,39.2947361027947,"Jonestown"
"xmin159",-76.6041816298497,-76.5982430456867,39.3451286762576,39.3546856336061,"Kenilworth Park"
"xmin160",-76.6172665102776,-76.609502482187,39.3442996266328,39.3481376233741,"Kernewood"
"xmin161",-76.5630739710449,-76.5479613705762,39.2904352624988,39.3009461683067,"Kresson"
"xmin162",-76.618058787581,-76.6098752891692,39.3646109692907,39.368206541179,"Lake Evesham"
"xmin163",-76.6098752891692,-76.5971378501847,39.3668629851759,39.3720011195713,"Lake Walker"
"xmin164",-76.6601193262404,-76.6375427760165,39.2487328707787,39.2603616795069,"Lakeland"
"xmin165",-76.6834915757597,-76.677174161675,39.3416637563734,39.3462049646298,"Langston Hughes"
"xmin166",-76.5817551993377,-76.5633159633657,39.3370118113597,39.3538952684178,"Lauraville"
"xmin167",-76.6698165470411,-76.6596064320267,39.3505216382879,39.3562063816933,"Levindale"
"xmin168",-76.6638225843674,-76.652486789289,39.3185140251585,39.3253853573003,"Liberty Square"
"xmin169",-76.6039379628484,-76.5983190715238,39.2848875729065,39.2887144342182,"Little Italy"
"xmin170",-76.5896429242082,-76.5734310962092,39.3544110084802,39.3719976627612,"Loch Raven"
"xmin171",-76.563527133958,-76.5538325103431,39.3174885416191,39.324942200698,"Lower Herring Run Park"
"xmin172",-76.6295832964227,-76.6142430334037,39.3450326934209,39.3537873808534,"Loyola/Notre Dame"
"xmin173",-76.6357351819612,-76.6203017952561,39.2989734621557,39.3104664516584,"Madison Park"
"xmin174",-76.5811004500327,-76.5726442815538,39.2988956079221,39.3027213727073,"Madison-Eastend"
"xmin175",-76.5846311761674,-76.5751434561943,39.3249292156907,39.3322694466604,"Mayfield"
"xmin176",-76.5851230639655,-76.5763426653409,39.2944256551039,39.2990897638126,"McElderry Park"
"xmin177",-76.6475488556619,-76.6373632219038,39.3348536167613,39.3454059902114,"Medfield"
"xmin178",-76.5520756285651,-76.5430080129469,39.2761237025299,39.2814417090028,"Medford"
"xmin179",-76.6099301747975,-76.6015428546932,39.3547775623419,39.3599455298895,"Mid-Govans"
"xmin180",-76.6210113040001,-76.6112547623162,39.299581853793,39.3092294772381,"Mid-Town Belvedere"
"xmin181",-76.63221280612,-76.6087275306312,39.2406063203804,39.2586788921679,"Middle Branch/Reedbird Parks"
"xmin182",-76.5945201840599,-76.5851230639655,39.2983761848247,39.304644937301,"Middle East"
"xmin183",-76.6562613890618,-76.6471909484204,39.2927505567872,39.3023057663897,"Midtown-Edmondson"
"xmin184",-76.5853479217715,-76.5808786048441,39.2987157308115,39.3024328370623,"Milton-Montford"
"xmin185",-76.6599534175443,-76.6462614171806,39.3093752759833,39.3193987290747,"Mondawmin"
"xmin186",-76.5893077247233,-76.5747508234168,39.3269739539941,39.3404571221587,"Montebello"
"xmin187",-76.5880146927588,-76.573050084103,39.3386328131085,39.3549483031519,"Morgan State University"
"xmin188",-76.667165834095,-76.644118613773,39.2555830388332,39.2713735400871,"Morrell Park"
"xmin189",-76.6652393017295,-76.6593903690875,39.2944123233133,39.3004192258109,"Mosher"
"xmin190",-76.6450246268765,-76.6377236203735,39.2796373302157,39.2855707703063,"Mount Clare"
"xmin191",-76.6215658541535,-76.6106281829253,39.294520732117,39.3017434883009,"Mount Vernon"
"xmin192",-76.6816522694185,-76.6499794659413,39.3550047960672,39.3719935165781,"Mount Washington"
"xmin193",-76.6498840386063,-76.6416268748307,39.2593482030825,39.2648481506227,"Mount Winans"
"xmin194",-76.5998479825978,-76.5895508300632,39.3406641736703,39.3554179334702,"New Northwood"
"xmin195",-76.5581624747328,-76.5365438004562,39.3576793226433,39.3719852196597,"North Harford Road"
"xmin196",-76.6497641841837,-76.6279479860288,39.3614257898423,39.3720012665091,"North Roland Park/Poplar Hill"
"xmin197",-76.6709112042224,-76.6607124119142,39.3034552061339,39.3092307772022,"Northwest Community Action"
"xmin198",-76.6163054842443,-76.6094306064845,39.3283180170757,39.3326631257143,"Oakenshawe"
"xmin199",-76.6074437945078,-76.5991274932818,39.2946964946937,39.3016914964429,"Oldtown"
"xmin200",-76.6040962103881,-76.5945201840599,39.3039254899135,39.3121317975579,"Oliver"
"xmin201",-76.5679536714039,-76.5505013948842,39.2962782096617,39.3082690481145,"Orangeville"
"xmin202",-76.6001896343028,-76.5933880194764,39.3339882924775,39.344982458891,"Original Northwood"
"xmin203",-76.5409427738264,-76.529673141792,39.3555329648043,39.3695395737162,"Overlea"
"xmin204",-76.6661022545146,-76.6596226170177,39.3093310206076,39.3151954023188,"Panway/Braddish Avenue"
"xmin205",-76.6654409888055,-76.6539966234902,39.3219174475818,39.3354935750369,"Park Circle"
"xmin206",-76.6677515573688,-76.6571452383154,39.3403191419917,39.3450720596946,"Parklane"
"xmin207",-76.5847023664922,-76.5729480718475,39.2859403068469,39.292217594873,"Patterson Park"
"xmin208",-76.5849222821714,-76.5818742366689,39.2918826897808,39.2956241958683,"Patterson Place"
"xmin209",-76.6095750015401,-76.5998255162387,39.3360415511569,39.3437340779154,"Pen Lucy"
"xmin210",-76.6465368392969,-76.6369651125429,39.3086524524817,39.3159319469513,"Penn North"
"xmin211",-76.6701173543367,-76.6469377394353,39.2871861308433,39.2944613016594,"Penrose/Fayette Street Outreach"
"xmin212",-76.5985413299172,-76.5945463743221,39.2863894752014,39.2891962253964,"Perkins"
"xmin213",-76.590661380821,-76.5762728171338,39.3486315814387,39.3555942465282,"Perring Loch"
"xmin214",-76.6383669980579,-76.6274310446198,39.2885553779514,39.2935868747451,"Poppleton"
"xmin215",-76.557255925282,-76.5297279985544,39.2810019700086,39.3225867268669,"Pulaski Industrial Area"
"xmin216",-76.6149612166785,-76.6096210171602,39.3471476777745,39.3519371171921,"Radnor-Winston"
"xmin217",-76.5942155627371,-76.5854687631249,39.3597789513282,39.3669898046995,"Ramblewood"
"xmin218",-76.6277501541574,-76.6194366646206,39.3130176664865,39.3265169372775,"Remington"
"xmin219",-76.6434939369348,-76.6231054153399,39.3102883238776,39.3171642338093,"Reservoir Hill"
"xmin220",-76.6096405147624,-76.6039559188514,39.345559631294,39.3479116968422,"Richnor Springs"
"xmin221",-76.6275325717447,-76.6232979211942,39.281249781983,39.2862036863228,"Ridgely's Delight"
"xmin222",-76.6941471915182,-76.6859261508499,39.2932841251817,39.3001599660742,"Rognel Heights"
"xmin223",-76.6462240515982,-76.6237694006916,39.3352860728978,39.3624101007072,"Roland Park"
"xmin224",-76.6157500960339,-76.6099156330356,39.3583303575682,39.3651624471007,"Rosebank"
"xmin225",-76.6484054343041,-76.6388061531079,39.2648481506227,39.2708641440329,"Saint Paul"
"xmin226",-76.6481500935297,-76.6344941154833,39.2987280093656,39.3100024121635,"Sandtown-Winchester"
"xmin227",-76.711256332777,-76.696852205016,39.3359243493926,39.3524830061162,"Seton Business Park"
"xmin228",-76.6276623229728,-76.6212607440375,39.2946329718576,39.3006480008568,"Seton Hill"
"xmin229",-76.6206124220933,-76.615389468392,39.2745986360047,39.2795951154553,"Sharp-Leadenhall"
"xmin230",-76.6635493811013,-76.6502738062465,39.281369082645,39.2902582062565,"Shipley Hill"
"xmin231",-76.5977383098511,-76.5821310328604,39.3121317975579,39.3144604002099,"South Clifton Park"
"xmin232",-76.7095638030174,-76.6938542662549,39.2813115960378,39.2929293284542,"Ten Hills"
"xmin233",-76.6341069557359,-76.6249517893312,39.3618528166193,39.3720012665091,"The Orchards"
"xmin234",-76.6738833616888,-76.6630917105145,39.3315237338507,39.3397312351727,"Towanda-Grantley"
"xmin235",-76.6958445311208,-76.6924557950021,39.2813697224042,39.285730482544,"Tremont"
"xmin236",-76.6258863620742,-76.6179541349553,39.3326600265548,39.3419910611752,"Tuscany-Canterbury"
"xmin237",-76.6451570388229,-76.6379619668747,39.285236765421,39.2883076655113,"Union Square"
"xmin238",-76.69794125222,-76.6887903788853,39.2849047040635,39.2934371401724,"Uplands"
"xmin239",-76.5936773490753,-76.584307886442,39.285612100971,39.2905423185089,"Upper Fells Point"
"xmin240",-76.6161613425857,-76.6123474456777,39.3514467185652,39.3541128444447,"Villages of Homeland"
"xmin241",-76.6847449230255,-76.6644454163953,39.2574739169412,39.2740153863054,"Violetville"
"xmin242",-76.6744226581625,-76.6611790743217,39.3088271772574,39.3144310303278,"Walbrook"
"xmin243",-76.5677796782338,-76.5455602338665,39.3310982267931,39.3521794570496,"Waltherson"
"xmin244",-76.5996823481764,-76.5890860530652,39.2873463528592,39.2941148436836,"Washington Hill"
